fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	iteracion_bayesiana	ganancia
20210928 211815	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	167	TRUE	0.0389062884127814	0.319905800063117	4493	971	0.0510444244034973	45	12743750
20210928 211931	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	105	TRUE	0.0482902412765287	0.380585049841693	1966	327	0.0513221047390229	46	13147500
20210928 212035	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	105	TRUE	0.0507136843457445	0.34919594908217	5482	416	0.0459849967107456	47	13582500
20210928 212246	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	439	TRUE	0.024689241234893	0.10733393628723	2036	691	0.0472465832690126	48	13266250
20210928 212351	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	138	TRUE	0.0343156245138776	0.181202687871014	3728	806	0.0536480731945508	49	12852500
20210928 212508	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	148	TRUE	0.0575452237354498	0.362951068582083	7147	768	0.0462767185677786	50	13165000
20210928 212604	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	141	TRUE	0.0449140423418954	0.142139673411683	6752	781	0.0400089029454521	51	13151250
20210928 212820	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	312	TRUE	0.0248007475621998	0.253932834990462	2968	805	0.0424002336509712	52	13503750
20210928 212946	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	164	TRUE	0.0322401313572656	0.331597272007074	6604	340	0.0454429122604174	53	13110000
20210928 213050	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	138	TRUE	0.0426982588306908	0.16824641653928	2358	358	0.0500099814038002	54	12727500
20210928 213156	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	92	TRUE	0.0451989898534119	0.344411689389823	2412	524	0.043827748105498	55	13541250
20210928 213327	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	192	TRUE	0.0569477789729182	0.357932020959118	7762	268	0.0424417977528356	56	13155000
20210928 213452	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	184	TRUE	0.0303236232159566	0.204933976346417	2798	962	0.042635681317203	57	13421250
20210928 213647	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	332	TRUE	0.0329585188276786	0.184481219421653	5819	947	0.0460858680654853	58	13495000
20210928 213817	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	244	TRUE	0.0264336030343268	0.165521876247576	5845	292	0.0525000608042907	59	12793750
20210928 213907	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.0592848337364849	0.28887075172253	1084	623	0.0512320512007026	60	12898750
20210928 214042	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	244	TRUE	0.0399562031990383	0.223599429848976	7897	865	0.0429763810968259	61	13180000
20210928 214205	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	181	TRUE	0.0426616546218377	0.134121307830885	4710	912	0.0428673832057486	62	13976250
20210928 214331	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	129	TRUE	0.0505543666269468	0.37648534000102	2286	617	0.0403647251550909	63	13256250
20210928 214432	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	113	TRUE	0.0455021619546134	0.231516344097955	5214	378	0.0450783754633379	64	13227500
20210928 214700	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	355	TRUE	0.0245414379593823	0.306255101090623	7856	144	0.0450942579448433	65	13025000
20210928 214810	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	114	TRUE	0.0555580552421231	0.388019923993736	6117	926	0.0475638737022155	66	13302500
20210928 214943	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	140	TRUE	0.0352774436873011	0.350821709502628	1661	605	0.0483159703241463	67	12981250
20210928 215055	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	130	TRUE	0.0537186924440227	0.273702089368948	3474	1009	0.0436442888854642	68	13426250
20210928 215217	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	185	TRUE	0.0403106564330589	0.228855523653096	3735	704	0.0444321747174102	69	13511250
20210928 215317	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	120	TRUE	0.0572020490901917	0.19858814532028	2499	201	0.0474082293068792	70	13207500
20210928 215417	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	87	TRUE	0.0539239807527047	0.379126087206556	5329	308	0.0439120284427947	71	13651250
20210928 215610	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	335	TRUE	0.030188247493403	0.171071035516704	5868	206	0.0422206550200353	72	13265000
20210928 215718	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	110	TRUE	0.0408674426675681	0.294047009907384	2993	337	0.0447670816573012	73	13476250
20210928 215909	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	305	TRUE	0.0317834640223253	0.176400647279853	3702	707	0.0546953027167125	74	13036250
20210928 220046	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	290	TRUE	0.0533632116582245	0.155110187766491	4552	698	0.0462201992469339	75	13248750
20210928 220225	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	339	TRUE	0.0211208445333503	0.105327674123412	4795	469	0.0429619938646827	76	13002500
20210928 220415	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	303	TRUE	0.0425504251965042	0.210987605964416	6242	573	0.0508132384002383	77	13118750
20210928 220521	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	127	TRUE	0.0493509975836705	0.23809476587039	3225	508	0.0490270321636088	78	13680000
20210928 220647	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	196	TRUE	0.0403266065078322	0.241672533096303	5277	167	0.053719036684616	79	13066250
20210928 220842	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	319	TRUE	0.0379027826575655	0.215355501608481	7402	573	0.0532023375775281	80	12968750
20210928 221018	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	146	TRUE	0.0301268367479183	0.358099686081358	1822	782	0.0417098442091944	81	13330000
20210928 221139	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	152	TRUE	0.0372957193118334	0.209850130977109	1223	417	0.0430518687206681	82	13658750
20210928 221239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	80	TRUE	0.0475517750732321	0.380103207775741	3892	739	0.0434838292503881	83	13391250
20210928 221407	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	165	TRUE	0.0350702041136008	0.340760661939043	5830	122	0.0473739500901371	84	13035000
20210928 221511	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	185	TRUE	0.0384061416720785	0.115208401581179	4195	590	0.0462373644439213	85	12963750
20210928 221627	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	139	TRUE	0.0508510259744339	0.382004359933757	7380	893	0.0512731854080316	86	12701250
20210928 221818	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	267	TRUE	0.0281982324733026	0.184020832733554	1871	628	0.0496565882409422	87	13266250
20210928 221912	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	89	TRUE	0.0519619411609601	0.269632847165852	4788	724	0.0436485737355158	88	13276250
20210928 222049	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	281	TRUE	0.0294401453184895	0.131901670258539	2377	538	0.0514425297440204	89	13221250
20210928 222258	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	192	TRUE	0.0204921148659382	0.385637553373864	1373	613	0.0514898656314006	90	13293750
